Description,Amount,Price,Image URL,Category
New Season Red Kidney Beans,420g,95c,https://www.aldi.com.au/fileadmin/_processed_/0/1/csm_1002781_REDUCTIONS_R12_1x1_228x128_1_RET_270630edaf.png,Fruit & Veg
New Season Lentils or Cannellini Beans,415g/420g,95c,https://www.aldi.com.au/fileadmin/_processed_/2/6/csm_1002781_REDUCTIONS_R12_1x1_228x128_2_RET_d901612268.png,Fruit & Veg
New Season Chickpeas,420g,95c,https://www.aldi.com.au/fileadmin/_processed_/d/5/csm_1002781_REDUCTIONS_R12_1x1_228x128_3_RET_28d7c56169.png,Fruit & Veg
New Season 4 Bean Mix,420g,95c,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_1002781_REDUCTIONS_R12_1x1_228x128_4_RET_83c729feff.png,Fruit & Veg
El Tora Black Beans,420g,95c,https://www.aldi.com.au/fileadmin/_processed_/0/2/csm_1002781_REDUCTIONS_R12_1x1_228x128_6_RET_5b7c3da134.png,Fruit & Veg
Portview Tuna Chunks,185g,$1.69,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_1002781_REDUCTIONS_R15_01_1x1_827249a_RET_b89da663a9.jpg,"Poultry, Meat & Seafood"
Sweet Vine Sweetened Dried Mango Slices,130g/170g,$3.69,https://www.aldi.com.au/fileadmin/_processed_/9/9/csm_1002781_REDUCTIONS_R17_1a_RET_ff4e23ee64.jpg,Fruit & Veg
Goldenvale Paleo Granola,300g,$6.79,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_1002781_REDUCTIONS_R16_13_1x1_709366a_RET_44ded2a004.jpg,Pantry
Kellogg's Flakes with Fruit & Nut,380g,$3.99,https://www.aldi.com.au/fileadmin/_processed_/c/2/csm_1002781_REDUCTIONS_R19_05_1x1_714345a_RET_9be6e886eb.jpg,Pantry
Kellogg's Flakes with Honey,380g,$3.99,https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_1002781_REDUCTIONS_R19_07_1x1_714346a_RET_b879b5c65a.jpg,Pantry
Bakers Life Lower Carb Wraps,210g,$3.69,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_1002781_REDUCTIONS_R39_SEP11_11_6a_RET_9b85aad33a.jpg,Deli & Chilled Meals
Bakers Life Lower Carb Higher Protein Bread,600g,$4.79,https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_1002781_REDUCTIONS_R28_36_1x1_13a_RET_R_3e49716ccb.jpg,Bakery
Bakers Life Mini White or Wholegrain Wraps,8pk/360g,$2.19,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_1002781_REDUCTIONS_R06_1x1_228x128_1_RET_c0641e0927.png,Deli & Chilled Meals
The Cake Stall Baby Cakes,300g,$3.29,https://www.aldi.com.au/fileadmin/_processed_/9/d/csm_1002781_REDUCTIONS_R44_OCT28_9_5a_RET_b0a7404f48.jpg,Bakery
